"TTD1","TTD2","TTD3","TTD4","TTD5","TTD6","TTD7","TTD8"
5.3,5.7,11.3,5.3,4.7,4.7,4.3,2.7
4.7,7.7,9,5.7,6,5.3,10.3,4.3
6.3,5.7,7.7,5.7,3.7,4.7,7.3,4.3
,6.3,5.3,5.7,3.7,4,5.3,4.3
,5,4.3,4.7,6.3,5.3,6.3,4.3
,5.3,7.7,5.7,3.3,6.3,4.7,5.3
,6.3,21.3,7.3,3.7,4.7,3.3,4.3
,5.3,6,6.3,6.3,3.3,5.3,5.3
,5.7,7.3,11.7,5.7,5,5.3,3.3
,3.3,7.7,4.3,4.3,3.3,6.7,4.3
,7.3,4.3,4.7,6.3,4.7,3.7,5.3
,6.3,4.7,5.7,2.7,3.7,6.7,5.3
,7.3,7.3,5.3,4.3,3.7,4.3,5.3
,4.3,6.3,3.3,7,4,6.3,5.3
,4.7,6.3,9.3,,5.3,6.3,5.3
,3.3,6.7,7.3,,5.7,5,3
,6.3,6.3,5.7,,3,4.3,4.7
,6.3,5.7,7.3,,,6.3,4.7
,5.3,5.7,5.3,,,6.3,5.3
,5.3,4.7,28.7,,,5,6.3
,7.3,5.7,4.7,,,4.7,4.3
,4.7,9.3,5,,,3,5.3
,3.3,5.7,6.3,,,3.7,9.7
,4.7,4.3,4.3,,,9.3,3.7
,4.3,4.7,7.3,,,6.3,5.3
,4,4.7,6.7,,,6.3,8.3
,5.7,4.7,6.3,,,4.7,4.3
,4.3,,4.3,,,4.3,7.3
,7.3,,4,,,5.7,5.3
,4.3,,5,,,5.3,4.7
,5.3,,7.7,,,11.3,5.3
,7.7,,4.7,,,3.7,3.7
,5.3,,6.3,,,6.3,6.7
,6.7,,7.3,,,6.3,4.3
,6.7,,7.7,,,7.3,5.3
,4.3,,5.3,,,8.3,3.7
,4.7,,4.7,,,4.3,5.3
,5.3,,5,,,3.3,4.7
,5.7,,3.7,,,7.7,5.3
,8.3,,7.3,,,5.3,4.3
,6.3,,6.3,,,6.7,4.7
,5.3,,5.7,,,4.7,6
,6.3,,8.7,,,4.3,4.7
,5.7,,5,,,6.3,3.7
,4,,6.7,,,5.3,3.3
,5.3,,5.3,,,6.3,5.7
,7.3,,4.7,,,4.7,3.7
,5.3,,11,,,6.3,
,5.7,,6,,,6.3,
,9,,6,,,3,
,8.3,,5.3,,,5.3,
,5.3,,4.3,,,4.7,
,5.3,,6,,,5.3,
,6.7,,5.7,,,5.3,
,3.7,,4,,,5.7,
,5.3,,6.3,,,6.3,
,5.3,,5.7,,,4,
,9,,8.3,,,7,
,4.3,,6.3,,,5.7,
,5.7,,5.7,,,5,
,6,,4.3,,,8,
,7.3,,4.3,,,6,
,4.7,,6.7,,,4.7,
,4.3,,4.7,,,5.3,
,5.7,,8.7,,,5,
,5.7,,5.3,,,5,
,6.3,,6.3,,,,
,7.3,,5.3,,,,
,4,,4.7,,,,
,5,,4.7,,,,
,5.7,,5.3,,,,
,7.7,,5.7,,,,
,5.7,,5.7,,,,
,6.3,,5.3,,,,
,7.3,,5.3,,,,
,7.7,,4.3,,,,
,6.3,,3.7,,,,
,5.3,,4.3,,,,
,6.3,,4.3,,,,
,4,,5.7,,,,
,5.3,,7.7,,,,
,4.7,,5.3,,,,
,7.3,,4,,,,
,6.7,,3.3,,,,
,5.7,,5.3,,,,
,5.7,,4,,,,
,5.7,,4.7,,,,
,5.3,,4,,,,
,6.3,,5.3,,,,
,6.3,,8.3,,,,
,6.7,,4.7,,,,
,4.3,,5.3,,,,
,4.7,,5.3,,,,
,4.7,,6.3,,,,
,5.7,,4.3,,,,
,8.3,,6.3,,,,
,9.3,,4.3,,,,
,5.3,,4.3,,,,
,6.3,,2.7,,,,
,5.3,,5.7,,,,
,6.3,,5.3,,,,
,5.3,,4.3,,,,
,6.3,,4.7,,,,
,6.3,,5.3,,,,
,6.7,,6.3,,,,
,4.3,,4.7,,,,
,4.3,,4.7,,,,
,5.7,,7.7,,,,
,4,,4.7,,,,
,4.7,,8.7,,,,
,6.3,,5,,,,
,7.3,,5.3,,,,
,4.3,,6.7,,,,
,5.3,,4.3,,,,
,5.7,,6,,,,
,6.3,,5,,,,
,5.7,,6.3,,,,
,5.3,,6,,,,
,9.7,,6.3,,,,
,5.7,,5,,,,
,4.7,,3.7,,,,
,5.7,,5,,,,
,6.7,,5.7,,,,
,7.3,,,,,,
,6.3,,,,,,
,4.7,,,,,,
,2.7,,,,,,
,3.7,,,,,,
,7.3,,,,,,
,4.3,,,,,,
,5.3,,,,,,
,4.7,,,,,,
,4.3,,,,,,
,5.7,,,,,,
,7.3,,,,,,
,6.3,,,,,,
,5.7,,,,,,
,6.3,,,,,,
,4.7,,,,,,
,6.3,,,,,,
,6.3,,,,,,
,6.3,,,,,,
,4.3,,,,,,
,7.3,,,,,,
,7.3,,,,,,
,4.7,,,,,,
,4.7,,,,,,
,5,,,,,,
,8,,,,,,
,6.3,,,,,,
,4.7,,,,,,
,9,,,,,,
,5.7,,,,,,
,9,,,,,,
,4.7,,,,,,
,3.7,,,,,,
,7.3,,,,,,
,4.7,,,,,,
,4.7,,,,,,
,7,,,,,,
,3.7,,,,,,
,7.3,,,,,,
,4,,,,,,
,5.3,,,,,,
,4.3,,,,,,
